"Date","Open","High","Low","Close"
"30 Dec 2014","8260.3","8268.25","8220.55","8248.20"
"29 Dec 2014","8214.7","8279.15","8214.7","8246.30"
"26 Dec 2014","8204.8","8234.55","8147.95","8200.70"
"24 Dec 2014","8272.05","8286.4","8155.25","8174.10"
"23 Dec 2014","8324.6","8364.75","8252.85","8267.00"
"22 Dec 2014","8255","8330.95","8228.2","8324.00"
"19 Dec 2014","8230.45","8263.45","8208.6","8225.20"
"18 Dec 2014","8138.9","8174.3","8084.9","8159.30"
"17 Dec 2014","8041.2","8082","7961.35","8029.80"
"16 Dec 2014","8172.6","8189.35","8052.6","8067.60"
"15 Dec 2014","8160.75","8242.4","8152.5","8219.60"
"12 Dec 2014","8302","8321.9","8216.3","8224.10"
"11 Dec 2014","8338.85","8348.3","8272.4","8292.90"
"10 Dec 2014","8318.05","8376.8","8317","8355.60"
"09 Dec 2014","8439.3","8444.5","8330.5","8340.70"
"08 Dec 2014","8538.65","8546.35","8432.25","8438.20"
"05 Dec 2014","8584.25","8588.35","8523.9","8538.30"
"04 Dec 2014","8582.4","8626.95","8526.4","8564.40"
"03 Dec 2014","8528.7","8546.95","8508.35","8537.60"
"02 Dec 2014","8535.45","8560.2","8504.65","8524.70"
"01 Dec 2014","8605.1","8623","8545.15","8555.90"
"28 Nov 2014","8516.8","8617","8516.25","8588.20"
"27 Nov 2014","8477.8","8506.75","8456.35","8494.20"
"26 Nov 2014","8450.3","8500.3","8438.65","8475.70"
"25 Nov 2014","8530.8","8535.35","8429.45","8463.10"
"24 Nov 2014","8490.95","8534.65","8490.8","8530.10"
"21 Nov 2014","8408.2","8489.8","8398.6","8477.30"
"20 Nov 2014","8406.5","8410.85","8353.15","8401.90"
"19 Nov 2014","8440.65","8455.65","8360.5","8382.30"
"18 Nov 2014","8441.25","8454.5","8407.25","8425.90"
"17 Nov 2014","8378.4","8438.1","8349.1","8430.70"
"14 Nov 2014","8360.7","8400.65","8346.8","8389.90"
"13 Nov 2014","8405.25","8408","8320.35","8357.80"
"12 Nov 2014","8378.9","8415.05","8370.5","8383.30"
"11 Nov 2014","8354.1","8378.7","8321.85","8362.60"
"10 Nov 2014","8337.8","8383.05","8304.45","8344.20"
"07 Nov 2014","8331.85","8360.35","8290.25","8337.00"
"05 Nov 2014","8351.25","8365.55","8323.5","8338.30"
"03 Nov 2014","8348.15","8350.6","8297.65","8324.10"
"31 Oct 2014","8200.8","8330.75","8198.05","8322.20"
"30 Oct 2014","8085.2","8181.55","8085.2","8169.20"
"29 Oct 2014","8077.05","8097.95","8052.25","8090.40"
"28 Oct 2014","8002.4","8037.8","7995.05","8027.60"
"27 Oct 2014","8064.35","8064.4","7985.65","7991.70"
"23 Oct 2014","8027.7","8031.75","8008.85","8014.50"
"22 Oct 2014","7997.8","8005","7974.55","7995.90"
"21 Oct 2014","7906.15","7936.6","7874.35","7927.70"
"20 Oct 2014","7896.95","7905.95","7856.95","7879.40"
"17 Oct 2014","7733.75","7819.2","7723.85","7779.70"
"16 Oct 2014","7837.3","7893.9","7729.65","7748.20"
"14 Oct 2014","7923.25","7928","7825.45","7864.00"
"13 Oct 2014","7831","7901.15","7796","7884.20"
"10 Oct 2014","7911","7924.05","7848.45","7859.90"
"09 Oct 2014","7886.5","7972.35","7886.5","7960.50"
"08 Oct 2014","7828.75","7869.9","7815.75","7842.70"
"07 Oct 2014","7897.4","7943.05","7842.7","7852.40"
"01 Oct 2014","7960.5","7977.5","7936.7","7945.50"
"30 Sep 2014","7948.8","8030.9","7923.85","7964.80"
"29 Sep 2014","7978.45","7991.75","7934.7","7958.90"
"26 Sep 2014","7885.85","7993.3","7841.8","7968.80"
"25 Sep 2014","8003.3","8019.3","7877.35","7911.80"
"24 Sep 2014","8015.55","8042.05","7950.05","8002.40"
"23 Sep 2014","8144.4","8159.75","8008.1","8017.50"
"22 Sep 2014","8084.45","8159.9","8064.8","8146.30"
"19 Sep 2014","8129.4","8160.9","8105.35","8121.40"
"18 Sep 2014","7950.65","8120.85","7939.7","8114.70"
"17 Sep 2014","7971.5","7990.65","7936.95","7975.50"
"16 Sep 2014","8036.6","8044.9","7925.15","7932.90"
"15 Sep 2014","8070.35","8077.3","8030","8042.00"
"12 Sep 2014","8087.05","8114.3","8071.6","8105.50"
"11 Sep 2014","8115.15","8127.95","8057.3","8085.70"
"10 Sep 2014","8135.55","8135.75","8082.1","8094.10"
"09 Sep 2014","8161.9","8174.55","8126.5","8152.90"
"08 Sep 2014","8132.95","8180.2","8126.15","8173.90"
"05 Sep 2014","8099.9","8122.7","8049.85","8086.80"
"04 Sep 2014","8114.2","8114.8","8060.9","8095.90"
"03 Sep 2014","8110.85","8141.9","8092.25","8114.60"
"02 Sep 2014","8038.6","8101.95","8036.55","8083.00"
"01 Sep 2014","7990.35","8035","7984","8027.70"
"28 Aug 2014","7942.25","7967.8","7939.2","7954.30"
"27 Aug 2014","7933.9","7946.85","7916.55","7936.00"
"26 Aug 2014","7874.5","7915.45","7862.45","7904.70"
"25 Aug 2014","7931.75","7968.25","7897.95","7906.30"
"22 Aug 2014","7904.55","7929.05","7900.05","7913.20"
"21 Aug 2014","7875.35","7919.65","7855.95","7891.10"
"20 Aug 2014","7915.8","7922.7","7864.05","7875.30"
"19 Aug 2014","7901","7918.55","7881.15","7897.50"
"18 Aug 2014","7785.25","7880.5","7779.2","7874.20"
"14 Aug 2014","7756.15","7796.7","7739.1","7791.70"
"13 Aug 2014","7717.3","7757.1","7695.7","7739.50"
"12 Aug 2014","7688.8","7735.75","7654.8","7727.00"
"11 Aug 2014","7619.85","7635.55","7598.6","7625.90"
"08 Aug 2014","7588.7","7592.45","7540.1","7568.50"
"07 Aug 2014","7651.15","7708.95","7630.4","7649.20"
"06 Aug 2014","7726.15","7740.95","7658.95","7672.00"
"05 Aug 2014","7706.65","7752.45","7638.05","7746.50"
"04 Aug 2014","7639.55","7694.8","7622.05","7683.60"
"01 Aug 2014","7662.5","7716.7","7593.9","7602.60"
"31 Jul 2014","7784.65","7791.85","7711.15","7721.30"
"30 Jul 2014","7746.2","7798.7","7707.6","7791.40"
"28 Jul 2014","7792.9","7799.9","7722.65","7748.70"
"25 Jul 2014","7828.2","7840.95","7748.6","7790.40"
"24 Jul 2014","7796.25","7835.65","7771.65","7830.60"
"23 Jul 2014","7794.9","7809.2","7752.9","7795.70"
"22 Jul 2014","7708.2","7773.85","7704.8","7767.80"
"21 Jul 2014","7701.65","7722.1","7674","7684.20"
"18 Jul 2014","7630.25","7685","7595.5","7663.90"
"17 Jul 2014","7612.7","7655.65","7612.7","7640.40"
"16 Jul 2014","7564.15","7640.1","7532.45","7624.40"
"15 Jul 2014","7491.3","7534.9","7459.15","7526.60"
"14 Jul 2014","7469","7478.45","7422.15","7454.10"
"11 Jul 2014","7584.1","7625.85","7447.2","7459.60"
"10 Jul 2014","7589.5","7731.05","7479.05","7567.70"
"09 Jul 2014","7637.95","7650.1","7551.65","7585.00"
"08 Jul 2014","7804.05","7808.85","7595.9","7623.20"
"07 Jul 2014","7780.4","7792","7755.1","7787.10"
"04 Jul 2014","7718.1","7758","7661.3","7751.60"
"03 Jul 2014","7734.35","7754.65","7706.8","7714.80"
"02 Jul 2014","7683.05","7732.4","7677.3","7725.10"
"01 Jul 2014","7629","7649.5","7618.15","7634.70"
"30 Jun 2014","7534.05","7623.65","7531.6","7611.30"
"27 Jun 2014","7514.2","7538.75","7482.3","7508.80"
"26 Jun 2014","7554.1","7570.2","7481.3","7493.20"
"25 Jun 2014","7588.55","7589.25","7557.05","7569.20"
"24 Jun 2014","7515.2","7593.35","7515.2","7580.20"
"23 Jun 2014","7514","7534.8","7441.6","7493.30"
"20 Jun 2014","7543.3","7560.55","7497.3","7511.40"
"19 Jun 2014","7580.05","7606.45","7502.55","7540.70"
"18 Jun 2014","7636.05","7663","7515.5","7558.20"
"17 Jun 2014","7525.05","7637.6","7509.25","7631.70"
"16 Jun 2014","7534.8","7548.6","7487.55","7533.50"
"13 Jun 2014","7668.2","7678.5","7525.35","7542.10"
"12 Jun 2014","7641.3","7658","7593.8","7649.90"
"11 Jun 2014","7672.4","7700.05","7589.05","7626.80"
"10 Jun 2014","7679.05","7683.2","7579.3","7656.40"
"09 Jun 2014","7621.65","7673.7","7580.25","7654.60"
"06 Jun 2014","7521.5","7592.7","7497.65","7583.40"
"05 Jun 2014","7399.75","7484.7","7360.5","7474.10"
"04 Jun 2014","7417.55","7433.3","7391.35","7402.20"
"03 Jun 2014","7375.35","7424.95","7342.15","7415.80"
"02 Jun 2014","7264.05","7368.6","7239.5","7362.50"
"30 May 2014","7254.85","7272.5","7118.45","7229.90"
"29 May 2014","7316.6","7325.4","7224.4","7235.60"
"28 May 2014","7324.95","7344.75","7302.6","7329.60"
"27 May 2014","7363.1","7372.95","7274.75","7318.00"
"26 May 2014","7428.75","7504","7269.05","7359.00"
"23 May 2014","7306.5","7381","7293.9","7367.10"
"22 May 2014","7289.95","7319.55","7258.15","7276.40"
"21 May 2014","7274.85","7287.15","7206.7","7252.90"
"20 May 2014","7309.95","7353.65","7247.7","7275.50"
"19 May 2014","7276.85","7291.1","7193.55","7263.50"
"16 May 2014","7270.2","7563.5","7130.65","7203.00"
"15 May 2014","7111.3","7152.55","7082.55","7123.10"
"14 May 2014","7112","7142.25","7080.9","7108.70"
"13 May 2014","7080","7172.35","7067.15","7108.70"
"12 May 2014","6863.4","7020.05","6862.9","7014.20"
"09 May 2014","6654.15","6871.35","6652.15","6858.80"
"08 May 2014","6669.9","6688.4","6638.55","6659.80"
"07 May 2014","6708.6","6718.75","6642.9","6652.50"
"06 May 2014","6719.25","6743.45","6701.9","6715.30"
"05 May 2014","6681.65","6741.05","6680.45","6699.30"
"02 May 2014","6709.95","6737.65","6689.5","6694.80"
"30 Apr 2014","6724.95","6780.15","6656.8","6696.40"
"29 Apr 2014","6769","6779.7","6708.65","6715.20"
"28 Apr 2014","6778.55","6786.25","6750.3","6761.20"
"25 Apr 2014","6855.8","6869.85","6772.85","6782.70"
"23 Apr 2014","6823.25","6861.6","6820.75","6840.80"
"22 Apr 2014","6822.9","6838","6806.25","6815.30"
"21 Apr 2014","6789.25","6825.45","6786.9","6817.60"
"17 Apr 2014","6695.45","6783.05","6684.4","6779.40"
"16 Apr 2014","6727.25","6748.65","6665.15","6675.30"
"15 Apr 2014","6792.7","6813.4","6711.75","6733.10"
"11 Apr 2014","6758.35","6789.35","6743.15","6776.30"
"10 Apr 2014","6803.05","6819.05","6777.3","6796.40"
"09 Apr 2014","6722","6808.7","6705.1","6796.20"
"07 Apr 2014","6694.25","6725.15","6650.4","6695.00"
"04 Apr 2014","6741.85","6741.85","6685.15","6694.30"
"03 Apr 2014","6772.05","6776.75","6696.9","6736.10"
"02 Apr 2014","6757.6","6763.5","6723.6","6752.50"
"01 Apr 2014","6729.5","6732.25","6675.45","6721.00"
"31 Mar 2014","6723.15","6730.05","6662.4","6704.20"
"28 Mar 2014","6673.05","6702.6","6643.8","6695.90"
"27 Mar 2014","6613.1","6673.95","6599.5","6641.70"
"26 Mar 2014","6615.65","6627.45","6580.6","6601.40"
"25 Mar 2014","6550.1","6595.55","6544.85","6589.70"
"24 Mar 2014","6510.5","6591.5","6510.5","6583.50"
"22 Mar 2014","6497.8","6502.65","6481.35","6494.90"
"21 Mar 2014","6515.2","6522.9","6485.7","6493.20"
"20 Mar 2014","6508.35","6523.65","6473.25","6483.10"
"19 Mar 2014","6530","6541.2","6506","6524.00"
"18 Mar 2014","6532.45","6574.95","6497.65","6516.60"
"14 Mar 2014","6447.25","6518.45","6432.7","6504.20"
"13 Mar 2014","6491.75","6561.45","6476.65","6493.10"
"12 Mar 2014","6497.5","6546.15","6487.3","6516.90"
"11 Mar 2014","6537.35","6562.85","6494.25","6511.90"
"10 Mar 2014","6491.7","6562.2","6487.35","6537.20"
"07 Mar 2014","6413.95","6537.8","6413.55","6526.60"
"06 Mar 2014","6344.75","6406.6","6339.7","6401.10"
"05 Mar 2014","6328.45","6336.25","6287.8","6328.60"
"04 Mar 2014","6216.75","6302.15","6215.7","6297.90"
"03 Mar 2014","6264.35","6277.75","6212.25","6221.40"
"28 Feb 2014","6228.45","6282.7","6228.1","6276.90"
"26 Feb 2014","6202.45","6245.95","6202.1","6238.80"
"25 Feb 2014","6205.7","6216.85","6176.6","6200.00"
"24 Feb 2014","6140.95","6191.85","6130.8","6186.10"
"21 Feb 2014","6108.3","6159.65","6108","6155.40"
"20 Feb 2014","6127.15","6129.1","6086.45","6091.40"
"19 Feb 2014","6132.05","6160.35","6125.75","6152.70"
"18 Feb 2014","6071.3","6141.7","6066.8","6127.10"
"17 Feb 2014","6057.1","6080.65","6038.3","6073.30"
"14 Feb 2014","6023.75","6056.4","5984.6","6048.30"
"13 Feb 2014","6087.55","6094.4","5991.1","6001.10"
"12 Feb 2014","6085.35","6106.6","6077.4","6084.00"
"11 Feb 2014","6072.45","6081.85","6053.25","6062.70"
"10 Feb 2014","6072.8","6083.05","6046.4","6053.40"
"07 Feb 2014","6077.65","6079.95","6030.9","6063.20"
"06 Feb 2014","6028.35","6048.35","5965.4","6036.30"
"05 Feb 2014","6004.25","6028.05","5962.05","6022.40"
"04 Feb 2014","5947.6","6017.8","5933.3","6000.90"
"03 Feb 2014","6058.8","6074.85","5994.45","6001.80"
"31 Jan 2014","6082.75","6097.85","6067.35","6089.50"
"30 Jan 2014","6067","6082.85","6027.25","6073.70"
"29 Jan 2014","6161","6170.45","6109.8","6120.20"
"28 Jan 2014","6131.85","6163.6","6085.95","6126.20"
"27 Jan 2014","6186.3","6188.55","6130.25","6135.80"
"24 Jan 2014","6301.65","6331.45","6263.9","6266.70"
"23 Jan 2014","6325.95","6355.6","6316.4","6345.60"
"22 Jan 2014","6309.05","6349.95","6287.45","6338.90"
"21 Jan 2014","6320.15","6330.3","6297.9","6313.80"
"20 Jan 2014","6261.75","6307.45","6243.35","6303.90"
"17 Jan 2014","6306.25","6327.1","6246.35","6261.60"
"16 Jan 2014","6341.35","6346.5","6299.85","6318.90"
"15 Jan 2014","6265.95","6325.2","6265.3","6320.90"
"14 Jan 2014","6260.25","6280.35","6234.15","6241.80"
"13 Jan 2014","6189.55","6288.2","6189.55","6272.70"
"10 Jan 2014","6178.85","6239.1","6139.6","6171.40"
"09 Jan 2014","6181.7","6188.05","6148.25","6168.30"
"08 Jan 2014","6178.05","6192.1","6160.35","6174.60"
"07 Jan 2014","6203.9","6221.5","6144.75","6162.20"
"06 Jan 2014","6220.85","6224.7","6170.25","6191.40"
"03 Jan 2014","6194.55","6221.7","6171.25","6211.10"
"02 Jan 2014","6301.25","6358.3","6211.3","6221.10"
"01 Jan 2014","6323.8","6327.2","6298.25","6301.60"
"31 Dec 2013","6307.35","6317.3","6287.3","6304.00"